0.06	0.69632
0.12	0.643763
0.3	0.632214
0.4	0.609678
0.46	0.62815
0.56	0.635634
0.67	0.63213
0.72	0.63157
0.88	0.672019
0.92	0.70148
1.08	0.719952
0.91	0.741369
0.87	0.751797
0.76	0.76517
0.64	0.781487
0.58	0.797015
0.44	0.506533
0.34	0.298046
0.21	0.171554
0.19	0.0230915
0.06	-0.0433756
-0.02	-0.131813
-0.19	-0.242222
-0.21	-0.346743
-0.39	-0.369269
-0.46	-0.413765
-0.51	-0.480233
-0.69	-0.540813
-0.74	-0.623363
-0.86	-0.700027
-0.98	-0.770804
-0.88	-0.843158
-0.75	-0.59861
-0.68	-0.438976
-0.58	-0.364256
-0.49	-0.266782
-0.33	-0.254223
-0.21	-0.218911
-0.17	-0.160846
-0.04	-0.108878
0.01	0.0903
0.11	0.250033
0.27	0.370322
0.38	0.50118
0.47	0.592593
0.51	0.694575
0.65	0.807126
0.72	0.916846
0.85	0.825176
0.96	0.787468
1.01	0.803722
0.91	0.805518
0.85	0.861275
0.72	0.902573
0.7	0.929412
0.56	0.960126
0.46	0.671311
0.39	0.468114
0.27	0.350535
0.12	0.210014
0.02	0.15511
-0.01	0.077265
-0.16	-0.0235208
-0.22	-0.11816
-0.4	-0.236238
-0.43	-0.348036
-0.51	-0.453553
-0.62	-0.560753
-0.75	-0.661673
-0.88	-0.764275
-0.97	-0.86856
-0.84	-0.972394
-0.77	-0.671788
-0.7	-0.479552
-0.56	-0.395685
-0.5	-0.28278
-0.39	-0.278245
-0.21	-0.244672
-0.18	-0.182062
-0.04	-0.127232
0.05	-0.0260528
0.13	0.0627072
0.27	0.139048
0.4	0.218716
0.45	0.285965
0.57	0.356542
0.66	0.430446
0.71	0.503459
0.85	0.564053
0.93	0.627974
1.03	0.695223
0.98	0.76158
0.81	0.831265
0.77	0.900059
0.66	0.967961
0.51	1.0361
0.44	0.621263
0.35	0.335839
0.29	0.179828
0.19	-0.0108586
0.07	-0.0721316
-0.08	-0.168081
-0.15	-0.298707
-0.29	-0.420041
-0.37	-0.411961
-0.41	-0.438558
-0.59	-0.499831
-0.66	-0.551813
-0.72	-0.638471
-0.87	-0.715837
-0.9	-0.783912
-0.87	-0.854477
-0.74	-0.612472
-0.63	-0.45422
-0.57	-0.37972
-0.49	-0.282779
-0.37	-0.269591
-0.21	-0.233962
-0.19	-0.175891
-0.02	-0.123833
0.01	0.0773493
0.14	0.238574
0.26	0.35984
0.32	0.491813
0.42	0.583829
0.52	0.686551
0.64	0.79998
0.75	0.91054
0.87	0.803525
0.93	0.754809
1.04	0.764392
0.94	0.758354
0.85	0.810615
0.8	0.847254
0.65	0.868273
0.58	0.893477
0.49	0.598982
0.36	0.39015
0.22	0.266981
0.17	0.120859
0.09	0.0603996
-0.09	-0.0230128
-0.1	-0.129379
-0.25	-0.229594
-0.32	-0.318734
-0.47	-0.410842
-0.54	-0.505918
-0.69	-0.600198
-0.79	-0.697446
-0.83	-0.793898
-0.91	-0.889556
-0.87	-0.985427
-0.78	-0.676744
-0.64	-0.476461
-0.55	-0.384577
-0.47	-0.263649
-0.32	-0.251119
-0.21	-0.209545
-0.12	-0.138924
-0.05	-0.0760865
0.02	0.00791733
0.13	0.0862497
0.29	0.158911
0.37	0.233091
0.42	0.3016
0.55	0.371629
0.65	0.443178
0.71	0.514319
0.81	0.579789
0.96	0.646778
1.08	0.715287
1	0.783389
0.87	0.853011
0.78	0.922225
0.65	0.991032
0.55	1.05995
0.4	0.613584
0.31	0.305288
0.26	0.135062
0.12	-0.0721601
0.08	-0.141313
-0.05	-0.247461
-0.15	-0.390605
-0.21	-0.523836
-0.39	-0.518998
-0.4	-0.551155
-0.58	-0.620308
-0.61	-0.679548
-0.71	-0.775783
-0.89	-0.862106
-0.96	-0.938516
-0.89	-1.01758
-0.76	-0.738931
-0.67	-0.556131
-0.53	-0.46918
-0.44	-0.356546
-0.32	-0.339763
-0.28	-0.297296
-0.13	-0.229146
-0.02	-0.167878
0.08	0.0184984
0.15	0.171352
0.28	0.290683
0.35	0.418997
0.43	0.513787
0.53	0.61756
0.6	0.730316
0.73	0.840665
0.84	0.743176
0.96	0.701377
1.05	0.715268
0.92	0.714237
0.81	0.768896
0.8	0.808633
0.61	0.833447
0.52	0.862261
0.5	0.585636
0.34	0.390853
0.21	0.277912
0.19	0.143042
0.05	0.090013
-0.05	0.0150549
-0.11	-0.0818327
-0.22	-0.172844
-0.32	-0.297429
-0.43	-0.413019
-0.56	-0.519612
-0.65	-0.628615
-0.71	-0.728623
-0.88	-0.831041
-0.96	-0.935869
-0.83	-1.04005
-0.73	-0.735569
-0.68	-0.540587
-0.58	-0.455107
-0.4	-0.340286
-0.35	-0.334967
-0.28	-0.300307
-0.17	-0.236306
-0.01	-0.180167
0.08	-0.11239
0.18	-0.0477311
0.21	0.0138093
0.4	0.0761853
0.48	0.135443
0.53	0.195536
0.62	0.256465
0.78	0.31717
0.86	0.374756
0.93	0.433178
1.07	0.492435
0.91	0.551469
0.87	0.611338
0.76	0.670983
0.69	0.730405
0.55	0.789886
